Jahr;Monat/Jahresdurchschnitt;Luftdruck (mittl. Wert auf NN reduziert) hPa;Luftdruck (langjähriger Durchschnitt) hPa;Lufttemperatur (Mittelwert) oC;Lufttemperatur (langjähriger Durchschnitt) oC;Lufttemperatur (Höchstwert) oC;Tagesdatum des Höchstwertes (der Lufttemperatur);Lufttemperatur (Tiefstwert) oC;Tagesdatum des Tiefstwertes (der Lufttemperatur);Sommertage (max. 25 oC bis unter 30 oC);Heiße Tage (max. 30 oC und mehr);Frosttage (min. unter 0 oC);Eistage (max. unter 0 oC);Sonnenscheindauer h;Sonnenscheindauer (langjähriger Durchschnitt) h;Luftfeuchtigkeit (relative Feuchte) %;Luftfeuchtigkeit (relative Feuchte, langjähriger Durchschnitt)  %;Niederschläge  mm;Niederschläge (langjähriger Durchschnitt) mm;Niederschläge (Höchstwert in 24 Std.) mm;Tagesdatum des Höchstwertes (der Niederschläge);Tage mit Regen;Tage mit Schneefall;Tage mit Regen und Schneefall;Tage mit einer Schneedecke (mind. 50% des Bodens schneebedeckt);Tage mit Hagel/Graupel;Tage mit Nebel;Tage mit Gewitter
2005;Januar;1025;1019;4;2;16;;-9;;0;0;11;7;95;52;79;81;36;60;7;;15;0;0;0;0;0;0
2005;Februar;1019;1017;1;3;12;;-9;;0;0;18;3;69;82;84;77;41;54;10;;8;0;0;0;0;0;0
2005;März;1018;1016;8;7;23;;-11;;0;0;10;2;166;123;72;70;41;64;10;;2;0;0;0;0;0;0
2005;April;1015;1014;12;10;28;;1;;2;0;0;0;139;159;72;66;124;81;22;;7;0;0;0;0;0;0
2005;Mai;1017;1015;16;14;33;;4;;8;4;0;0;214;198;70;67;126;106;20;;4;0;0;0;0;0;0
2005;Juni;1018;1016;21;18;35;;7;;18;12;0;0;289;223;60;66;40;117;13;;2;0;0;0;0;0;0
2005;Juli;1016;1017;21;20;35;;12;;16;6;0;0;201;252;68;65;127;96;18;;18;0;0;0;0;0;0
2005;August;1017;1016;19;19;31;;11;;9;1;0;0;222;228;69;68;107;102;33;;15;0;0;0;0;0;0
2005;September;1018;1018;18;16;29;;7;;10;0;0;0;189;179;70;72;102;71;42;;11;0;0;0;0;0;0
2005;Oktober;1019;1018;13;11;22;;5;;0;0;0;0;120;122;77;79;80;66;32;;18;0;0;0;0;0;0
2005;November;1019;1018;6;6;22;;-5;;0;0;6;0;95;69;75;80;25;73;14;;13;0;0;0;0;0;0
2005;Dezember;1020;1019;2;3;11;;-8;;0;0;13;2;41;53;77;81;54;66;16;;12;0;0;0;0;0;0
2005;Jahresdurchschnitt;1019;1017;12;11;35;;-11;;63;23;58;14;1840;1740;73;73;901;955;42;;125;0;0;0;0;0;0
2006;Januar;1025;1019;-1;2;10;;-9;;0;0;23;8;71;52;81;81;14;60;4;;8;0;0;0;0;0;0
2006;Februar;1017;1017;2;3;11;;-9;;0;0;14;5;62;82;76;77;57;54;17;;14;0;0;0;0;0;0
2006;März;1014;1016;5;7;22;;-5;;0;0;16;1;117;123;70;70;111;64;25;;18;0;0;0;0;0;0
2006;April;1016;1014;11;10;24;;0;;0;0;0;0;147;159;64;66;82;81;19;;18;0;0;0;0;0;0
2006;Mai;1018;1015;16;14;27;;4;;5;0;0;0;172;198;63;67;168;106;33;;17;0;0;0;0;0;0
2006;Juni;1020;1016;20;18;33;;6;;21;6;0;0;299;223;56;66;35;117;11;;8;0;0;0;0;0;0
2006;Juli;1018;1017;26;20;37;;17;;30;25;0;0;349;252;51;65;19;96;5;;8;0;0;0;0;0;0
2006;August;1014;1016;17;19;27;;11;;5;0;0;0;141;228;71;68;177;102;20;;26;0;0;0;0;0;0
2006;September;1017;1018;19;16;29;;11;;13;0;0;0;183;179;72;72;200;71;61;;12;0;0;0;0;0;0
2006;Oktober;1016;1018;15;11;26;;6;;1;0;0;0;133;122;76;79;132;66;42;;15;0;0;0;0;0;0
2006;November;1021;1018;9;6;19;;1;;0;0;0;0;101;69;75;80;66;73;19;;14;0;0;0;0;0;0
2006;Dezember;1027;1019;4;3;18;;-8;;0;0;21;0;92;53;81;81;48;66;24;;13;0;0;0;0;0;0
2006;Jahresdurchschnitt;1019;1017;12;11;37;;-9;;75;31;74;14;1866;1740;70;73;1109;955;61;;171;0;0;0;0;0;0
2007;Januar;1023;1019;6;2;16;;-14;;0;0;11;3;53;52;79;81;34;60;10;;19;0;0;0;0;0;0
2007;Februar;1014;1017;6;2;15;;-4;;0;0;12;0;105;82;79;77;58;54;13;;16;0;0;0;0;0;0
2007;März;1017;1016;7;5;18;;-3;;0;0;12;0;155;123;76;70;89;64;19;;16;0;0;0;0;0;0
2007;April;1019;1014;14;9;28;;-1;;9;0;3;0;316;159;63;66;3;81;3;;2;0;0;0;0;0;0
2007;Mai;1012;1015;16;13;31;;3;;9;2;0;0;208;198;68;67;112;106;21;;21;0;0;0;0;0;0
2007;Juni;1013;1016;19;16;30;;7;;15;0;0;0;201;223;74;66;138;117;21;;18;0;0;0;0;0;0
2007;Juli;1016;1017;19;19;35;;6;;12;3;0;0;200;252;72;65;112;96;23;;21;0;0;0;0;0;0
2007;August;1015;1016;18;18;32;;6;;13;2;0;0;219;228;77;68;116;102;31;;18;0;0;0;0;0;0
2007;September;1020;1018;14;15;25;;3;;2;0;0;0;161;179;80;72;50;71;14;;10;0;0;0;0;0;0
2007;Oktober;1023;1018;10;10;26;;-3;;1;0;6;0;154;122;81;79;7;66;6;;3;0;0;0;0;0;0
2007;November;1022;1018;4;5;14;;-8;;0;0;12;0;45;69;86;80;60;73;12;;14;0;0;0;0;0;0
2007;Dezember;1025;1019;2;2;14;;-11;;0;0;18;5;66;53;84;81;50;66;10;;18;0;0;0;0;0;0
2007;Jahresdurchschnitt;1018;1017;11;10;35;;-14;;61;7;74;8;1883;1740;77;73;830;955;31;;176;0;0;0;0;0;0
2008;Januar;1022;1019;5;1;15;;-8;;0;0;19;0;96;52;80;81;37;60;10;;15;0;0;0;0;0;0
2008;Februar;1028;1017;5;2;19;;-9;;0;0;19;0;155;82;75;77;26;54;9;;10;0;0;0;0;0;0
2008;März;1011;1016;6;5;22;;-7;;0;0;13;0;87;123;73;70;60;64;11;;22;0;0;0;0;0;0
2008;April;1012;1014;9;9;23;;-5;;0;0;4;0;104;159;76;66;144;81;34;;19;0;0;0;0;0;0
2008;Mai;1014;1015;17;13;30;;4;;7;0;0;0;221;198;66;67;51;106;30;;9;0;0;0;0;0;0
2008;Juni;1016;1016;18;16;32;;5;;14;2;0;0;197;223;75;66;65;117;15;;17;0;0;0;0;0;0
2008;Juli;1016;1017;20;19;33;;7;;16;6;0;0;228;252;70;65;70;96;14;;14;0;0;0;0;0;0
2008;August;1015;1016;19;18;31;;7;;13;1;0;0;215;228;73;68;93;102;51;;15;0;0;0;0;0;0
2008;September;1018;1018;14;15;27;;1;;4;0;0;0;157;179;80;72;90;71;34;;12;0;0;0;0;0;0
2008;Oktober;1019;1018;11;10;24;;-2;;0;0;4;0;121;122;83;79;107;66;22;;16;0;0;0;0;0;0
2008;November;1017;1018;6;5;19;;-7;;0;0;11;0;77;69;86;80;21;73;5;;16;0;0;0;0;0;0
2008;Dezember;1020;1019;2;2;10;;-10;;0;0;18;0;54;53;87;81;68;66;11;;19;0;0;0;0;0;0
2008;Jahresdurchschnitt;1017;1017;11;10;33;;-10;;54;9;88;0;1710;1740;77;73;831;955;51;;184;0;0;0;0;0;0
2009;Januar;1017;1019;-2;1;13;;-14;;0;0;28;10;99;52;88;81;22;60;10;;5;0;0;0;0;0;0
2009;Februar;1016;1017;2;2;14;;-11;;0;0;19;0;71;82;84;77;74;54;14;;19;0;0;0;0;0;0
2009;März;1017;1016;6;5;15;;-6;;0;0;17;0;96;123;74;70;96;64;21;;14;0;0;0;0;0;0
2009;April;1013;1014;13;9;24;;0;;0;0;1;0;196;159;68;66;13;81;5;;10;0;0;0;0;0;0
2009;Mai;1019;1015;17;13;34;;0;;8;3;0;0;229;198;69;67;54;106;11;;15;0;0;0;0;0;0
2009;Juni;1016;1016;17;16;30;;3;;9;1;0;0;220;223;71;66;73;117;17;;16;0;0;0;0;0;0
2009;Juli;1016;1017;20;19;32;;8;;16;2;0;0;198;252;72;65;155;96;54;;20;0;0;0;0;0;0
2009;August;1017;1016;21;18;36;;5;;22;8;0;0;263;228;72;68;29;102;11;;10;0;0;0;0;0;0
2009;September;1020;1018;16;15;33;;4;;3;1;0;0;186;179;80;72;25;71;7;;8;0;0;0;0;0;0
2009;Oktober;1019;1018;10;10;30;;-6;;2;0;8;0;115;122;82;79;76;66;26;;15;0;0;0;0;0;0
2009;November;1012;1018;9;5;21;;-4;;0;0;3;0;67;69;78;80;64;73;12;;20;0;0;0;0;0;0
2009;Dezember;1010;1019;3;2;14;;-20;;0;0;14;4;48;53;82;81;97;66;19;;22;0;0;0;0;0;0
2009;Jahresdurchschnitt;1016;1017;11;10;36;;-20;;60;15;90;14;1788;1740;77;73;777;955;54;;174;0;0;0;0;0;0
2010;Januar;1016;1019;-1;1;9;;-10;;0;0;28;11;34;52;90;81;41;60;12;;20;0;0;0;0;0;0
2010;Februar;1007;1017;3;2;16;;-11;;0;0;17;6;55;82;80;77;35;54;10;;17;0;0;0;0;0;0
2010;März;1018;1016;6;5;22;;-9;;0;0;14;1;148;123;68;70;45;64;7;;17;0;0;0;0;0;0
2010;April;1019;1014;11;9;28;;-4;;1;0;6;0;209;159;66;66;29;81;9;;10;0;0;0;0;0;0
2010;Mai;1014;1015;13;13;29;;3;;2;0;0;0;114;198;79;67;123;106;19;;24;0;0;0;0;0;0
2010;Juni;1015;1016;18;16;30;;4;;14;1;0;0;216;223;74;66;43;117;15;;12;0;0;0;0;0;0
2010;Juli;1017;1017;21;19;37;;9;;20;12;0;0;278;252;69;65;66;96;16;;15;0;0;0;0;0;0
2010;August;1016;1016;18;18;31;;7;;11;3;0;0;167;228;77;65;146;102;19;;20;0;0;0;0;0;0
2010;September;1017;1018;14;15;25;;2;;1;0;0;0;202;179;80;72;47;71;13;;10;0;0;0;0;0;0
2010;Oktober;1015;1018;9;10;25;;-5;;0;0;7;0;129;122;86;79;44;66;11;;11;0;0;0;0;0;0
2010;November;1009;1018;7;5;20;;-10;;0;0;7;2;53;69;84;80;77;73;22;;19;0;0;0;0;0;0
2010;Dezember;1014;1019;0;2;15;;-17;;0;0;20;9;36;53;90;81;112;66;24;;24;0;0;0;0;0;0
2010;Jahresdurchschnitt;1015;1017;10;10;37;;-17;;49;16;99;29;1641;1740;79;73;807;955;24;;199;0;0;0;0;0;0
2011;Januar;1021;1019;3;1;16;;-10;;0;0;19;3;67;52;83;81;39;60;13;;17;0;0;0;0;0;0
2011;Februar;1020;1017;4;2;16;;-9;;0;0;15;2;78;82;84;77;33;54;10;;11;0;0;0;0;0;0
2011;März;1021;1016;8;5;21;;-6;;0;0;15;0;194;123;69;70;41;64;11;;10;0;0;0;0;0;0
2011;April;1018;1014;13;9;26;;-2;;2;0;4;0;271;159;68;66;30;81;16;;6;0;0;0;0;0;0
2011;Mai;1019;1015;16;13;31;;1;;16;1;0;0;294;198;64;67;55;106;21;;17;0;0;0;0;0;0
2011;Juni;1017;1016;18;16;33;;6;;11;2;0;0;190;223;71;66;133;117;24;;15;0;0;0;0;0;0
2011;Juli;1014;1017;17;19;31;;6;;7;1;0;0;209;252;73;65;100;96;23;;12;0;0;0;0;0;0
2011;August;1015;1016;20;18;34;;7;;20;6;0;0;237;228;74;68;82;102;32;;14;0;0;0;0;0;0
2011;September;1018;1018;17;15;31;;6;;12;2;0;0;218;179;77;72;39;71;11;;12;0;0;0;0;0;0
2011;Oktober;1022;1018;10;10;26;;-2;;4;0;5;0;160;122;84;79;60;66;15;;9;0;0;0;0;0;0
2011;November;1022;1018;6;5;19;;-4;;0;0;11;0;83;69;93;80;1;73;1;;6;0;0;0;0;0;0
2011;Dezember;1019;1019;6;2;16;;-2;;0;0;9;0;35;53;83;81;101;66;17;;24;0;0;0;0;0;0
2011;Jahresdurchschnitt;1019;1017;12;10;34;;-10;;72;12;78;5;2036;1740;77;73;714;955;32;;153;0;0;0;0;0;0
2012;Januar;1024;1019;4;1;14;;-7;;0;0;12;1;54;52;86;81;65;60;12;;22;0;0;0;0;0;0
2012;Februar;1029;1017;-2;2;14;;-17;;0;0;22;11;130;82;76;77;18;54;8;;8;0;0;0;0;0;0
2012;März;1027;1016;9;5;23;;-4;;0;0;8;0;224;123;71;70;23;64;9;;8;0;0;0;0;0;0
2012;April;1007;1014;10;9;29;;-1;;2;0;5;0;122;159;71;66;66;81;14;;20;0;0;0;0;0;0
2012;Mai;1016;1015;16;13;31;;0;;9;1;1;0;238;198;70;67;92;106;17;;19;0;0;0;0;0;0
2012;Juni;1015;1016;18;16;32;;8;;11;4;0;0;193;223;74;66;138;117;20;;19;0;0;0;0;0;0
2012;Juli;1016;1017;19;19;33;;8;;12;3;0;0;217;252;73;65;93;96;13;;18;0;0;0;0;0;0
2012;August;1017;1016;20;18;35;;9;;21;6;0;0;255;228;73;68;87;102;19;;16;0;0;0;0;0;0
2012;September;1017;1018;15;15;30;;3;;5;1;0;0;174;179;81;72;92;71;36;;10;0;0;0;0;0;0
2012;Oktober;1014;1018;10;10;24;;-5;;0;0;5;0;115;122;87;79;111;66;37;;15;0;0;0;0;0;0
2012;Dezember;1016;1019;4;2;19;;-13;;0;0;12;1;48;53;84;81;94;66;11;;23;0;0;0;0;0;0
2012;November;1015;1018;7;5;19;;-3;;0;0;8;0;37;69;90;80;126;73;26;;15;0;0;0;0;0;0
2012;Jahresdurchschnitt;1018;1017;11;10;35;;-17;;60;15;73;13;1806;1740;78;73;1003;955;37;;193;0;0;0;0;0;0
2013;Januar;1017;1021;2;3;16;;-8;;0;0;20;5;31;64;88;79;33;48;7;;18;0;0;0;0;0;0
2013;Februar;1017;1020;0;4;12;;-14;;0;0;22;5;45;90;85;75;67;50;24;;16;0;0;0;0;0;0
